forecast_id,canonical_name,location,quality_status,data_density,model_used,reference_week,reference_price,forecast_week,expected_price,lower_bound,upper_bound,range_width,expected_change,expected_change_pct,outlook,outlook_label,directional_outlook,directional_outlook_label,selected_strategy,validation_accuracy,validation_call_rate,strategy_change,direction_threshold,direction_evidence,generated_at,model_version
Demuduk_Cupak_Cermin_20260831,Demuduk / Cupak / Cermin,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,32,2026-08-31,32.549330124963525,31.589418015872383,33.50924223405467,1.919824218182281,0.5493301249635252,1.7166566405110162,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_INCREASE,Likely to increase,model_signal,59.375,45.714285714285715,0.5493301249635252,0.25,Validated directional strategy accuracy: 59.4%.,2026-08-30T22:48:38Z,2026-08-v1
Demuduk_Cupak_Cermin_20260907,Demuduk / Cupak / Cermin,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,32,2026-09-07,32.549330124963525,31.540862560957745,33.5577976889693,2.016935128011557,0.5493301249635252,1.7166566405110162,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_INCREASE,Likely to increase,model_signal,59.375,45.714285714285715,0.5493301249635252,0.25,Validated directional strategy accuracy: 59.4%.,2026-08-30T22:48:38Z,2026-08-v1
Demuduk_Cupak_Cermin_20260914,Demuduk / Cupak / Cermin,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,32,2026-09-14,32.549330124963525,31.494537422542145,33.604122827384906,2.109585404842761,0.5493301249635252,1.7166566405110162,AROUND_CURRENT_LEVELS,Around current levels,LIKELY_INCREASE,Likely to increase,model_signal,59.375,45.714285714285715,0.5493301249635252,0.25,Validated directional strategy accuracy: 59.4%.,2026-08-30T22:48:38Z,2026-08-v1
Ikan_Merah_20260824,Ikan Merah,Selangor,SPARSE_DATA,SPARSE,"ETS(A,N,N)",2026-08-17,53.495000000000005,2026-08-24,53.39021052188131,52.386034551237536,54.39438649252508,2.0083519412875432,-0.10478947811869688,-0.1958864905480806,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,model_signal,62.06896551724138,43.28358208955223,-0.10478947811869688,0.25,Validated directional strategy accuracy: 62.1%.,2026-08-30T22:48:38Z,2026-08-v1
Ikan_Merah_20260831,Ikan Merah,Selangor,SPARSE_DATA,SPARSE,"ETS(A,N,N)",2026-08-17,53.495000000000005,2026-08-31,53.47072585272382,52.42307452794023,54.5183771775074,2.0953026495671736,-0.02427414727618782,-0.04537647869181649,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,model_signal,62.06896551724138,43.28358208955223,-0.10478947811869688,0.25,Validated directional strategy accuracy: 62.1%.,2026-08-30T22:48:38Z,2026-08-v1
Ikan_Merah_20260907,Ikan Merah,Selangor,SPARSE_DATA,SPARSE,"ETS(A,N,N)",2026-08-17,53.495000000000005,2026-09-07,53.551241183566326,52.46182050785751,54.64066185927514,2.1788413514176312,0.05624118356632124,0.10513353316443652,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,model_signal,62.06896551724138,43.28358208955223,-0.10478947811869688,0.25,Validated directional strategy accuracy: 62.1%.,2026-08-30T22:48:38Z,2026-08-v1
Ikan_Merah_20260914,Ikan Merah,Selangor,SPARSE_DATA,SPARSE,"ETS(A,N,N)",2026-08-17,53.495000000000005,2026-09-14,53.631756514408835,52.50208322918762,54.76142979963005,2.259346570442432,0.1367565144088303,0.25564354502072284,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,model_signal,62.06896551724138,43.28358208955223,-0.10478947811869688,0.25,Validated directional strategy accuracy: 62.1%.,2026-08-30T22:48:38Z,2026-08-v1
Jenahak_20260824,Jenahak,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,45.99,2026-08-24,45.99,45.14,46.84,1.7000000000000028,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Jenahak_20260831,Jenahak,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,45.99,2026-08-31,45.99,45.14,46.84,1.7000000000000028,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Jenahak_20260907,Jenahak,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,45.99,2026-09-07,45.99,45.14,46.84,1.7000000000000028,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Jenahak_20260914,Jenahak,Selangor,SPARSE_DATA,SPARSE,NAIVE,2026-08-17,45.99,2026-09-14,45.99,45.14,46.84,1.7000000000000028,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Kembung_Pelaling_20260824,Kembung / Pelaling,Selangor,VALID,DENSE,NAIVE,2026-08-17,15.9,2026-08-24,15.9,14.895,16.905,2.009999999999998,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Kembung_Pelaling_20260831,Kembung / Pelaling,Selangor,VALID,DENSE,NAIVE,2026-08-17,15.9,2026-08-31,15.9,14.895,16.905,2.009999999999998,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Kembung_Pelaling_20260907,Kembung / Pelaling,Selangor,VALID,DENSE,NAIVE,2026-08-17,15.9,2026-09-07,15.9,14.895,16.905,2.009999999999998,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Kembung_Pelaling_20260914,Kembung / Pelaling,Selangor,VALID,DENSE,NAIVE,2026-08-17,15.9,2026-09-14,15.9,14.895,16.905,2.009999999999998,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Kerisi_20260824,Kerisi,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,16.99,2026-08-24,16.949820150279606,16.24565915960726,17.653981140951952,1.4083219813446917,-0.04017984972039201,-0.23649116963150307,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,model_signal,60.71428571428571,39.436619718309856,-0.040179849720392014,0.25,Validated directional strategy accuracy: 60.7%.,2026-08-30T22:48:38Z,2026-08-v1
Kerisi_20260831,Kerisi,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,16.99,2026-08-31,16.949820150279606,16.205783097473123,17.69385720308609,1.4880741056129665,-0.04017984972039201,-0.23649116963150307,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,model_signal,60.71428571428571,39.436619718309856,-0.040179849720392014,0.25,Validated directional strategy accuracy: 60.7%.,2026-08-30T22:48:38Z,2026-08-v1
Kerisi_20260907,Kerisi,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,16.99,2026-09-07,16.949820150279606,16.167938080454974,17.73170222010424,1.5637641396492654,-0.04017984972039201,-0.23649116963150307,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,model_signal,60.71428571428571,39.436619718309856,-0.040179849720392014,0.25,Validated directional strategy accuracy: 60.7%.,2026-08-30T22:48:38Z,2026-08-v1
Kerisi_20260914,Kerisi,Selangor,VALID,DENSE,"ETS(A,N,N)",2026-08-17,16.99,2026-09-14,16.949820150279606,16.13184215162833,17.767798148930883,1.6359559973025526,-0.04017984972039201,-0.23649116963150307,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,model_signal,60.71428571428571,39.436619718309856,-0.040179849720392014,0.25,Validated directional strategy accuracy: 60.7%.,2026-08-30T22:48:38Z,2026-08-v1
Pelata_20260824,Pelata,Selangor,VALID,DENSE,NAIVE,2026-08-17,19.9,2026-08-24,19.9,18.91,20.889999999999997,1.9799999999999969,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Pelata_20260831,Pelata,Selangor,VALID,DENSE,NAIVE,2026-08-17,19.9,2026-08-31,19.9,18.91,20.889999999999997,1.9799999999999969,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
Pelata_20260907,Pelata,Selangor,VALID,DENSE,NAIVE,2026-08-17,19.9,2026-09-07,19.9,18.91,20.889999999999997,1.9799999999999969,0,0,AROUND_CURRENT_LEVELS,Around current levels,NO_STRONG_SIGNAL,No strong directional signal,NO_STRONG_SIGNAL,NA,0,NA,0.25,No validated directional strategy met the minimum evidence threshold.,2026-08-30T22:48:38Z,2026-08-v1
