forecast_id,canonical_name,location,forecast_week,reference_week,reference_price,expected_price,lower_bound,upper_bound,outlook_label,directional_outlook_label,model_used,quality_status,generated_at,model_version
Kembung_Pelaling_20260907,Kembung / Pelaling,Selangor,2026-09-07,2026-08-17,15.9,15.9,14.895,16.905,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Kembung_Pelaling_20260914,Kembung / Pelaling,Selangor,2026-09-14,2026-08-17,15.9,15.9,14.895,16.905,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Kerisi_20260824,Kerisi,Selangor,2026-08-24,2026-08-17,16.99,16.949820150279606,16.24565915960726,17.653981140951952,Around current levels,No strong directional signal,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Kerisi_20260831,Kerisi,Selangor,2026-08-31,2026-08-17,16.99,16.949820150279606,16.205783097473123,17.69385720308609,Around current levels,No strong directional signal,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Kerisi_20260907,Kerisi,Selangor,2026-09-07,2026-08-17,16.99,16.949820150279606,16.167938080454974,17.73170222010424,Around current levels,No strong directional signal,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Kerisi_20260914,Kerisi,Selangor,2026-09-14,2026-08-17,16.99,16.949820150279606,16.13184215162833,17.767798148930883,Around current levels,No strong directional signal,"ETS(A,N,N)",VALID,2026-08-30T22:48:38Z,2026-08-v1
Pelata_20260824,Pelata,Selangor,2026-08-24,2026-08-17,19.9,19.9,18.91,20.889999999999997,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Pelata_20260831,Pelata,Selangor,2026-08-31,2026-08-17,19.9,19.9,18.91,20.889999999999997,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Pelata_20260907,Pelata,Selangor,2026-09-07,2026-08-17,19.9,19.9,18.91,20.889999999999997,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Pelata_20260914,Pelata,Selangor,2026-09-14,2026-08-17,19.9,19.9,18.91,20.889999999999997,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Selar_Kuning_20260824,Selar Kuning,Selangor,2026-08-24,2026-08-17,13.395,13.395,12.784999999999998,14.005,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Selar_Kuning_20260831,Selar Kuning,Selangor,2026-08-31,2026-08-17,13.395,13.395,12.784999999999998,14.005,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Selar_Kuning_20260907,Selar Kuning,Selangor,2026-09-07,2026-08-17,13.395,13.395,12.784999999999998,14.005,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Selar_Kuning_20260914,Selar Kuning,Selangor,2026-09-14,2026-08-17,13.395,13.395,12.784999999999998,14.005,Around current levels,No strong directional signal,NAIVE,VALID,2026-08-30T22:48:38Z,2026-08-v1
Siakap_Putih_20260824,Siakap Putih,Selangor,2026-08-24,2026-08-17,20,20,19.1,20.9,Around current levels,No strong directional signal,NAIVE,SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Siakap_Putih_20260831,Siakap Putih,Selangor,2026-08-31,2026-08-17,20,20,19.1,20.9,Around current levels,No strong directional signal,NAIVE,SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Siakap_Putih_20260907,Siakap Putih,Selangor,2026-09-07,2026-08-17,20,20,19.1,20.9,Around current levels,No strong directional signal,NAIVE,SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Siakap_Putih_20260914,Siakap Putih,Selangor,2026-09-14,2026-08-17,20,20,19.1,20.9,Around current levels,No strong directional signal,NAIVE,SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Tenggiri_20260824,Tenggiri,Selangor,2026-08-24,2026-08-17,49.99,49.99,47.331,52.649,Around current levels,No strong directional signal,NAIVE,SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Tenggiri_20260831,Tenggiri,Selangor,2026-08-31,2026-08-17,49.99,49.99,47.331,52.649,Around current levels,No strong directional signal,NAIVE,SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Tenggiri_20260907,Tenggiri,Selangor,2026-09-07,2026-08-17,49.99,49.99,47.331,52.649,Around current levels,No strong directional signal,NAIVE,SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
Tenggiri_20260914,Tenggiri,Selangor,2026-09-14,2026-08-17,49.99,49.99,47.331,52.649,Around current levels,No strong directional signal,NAIVE,SPARSE_DATA,2026-08-30T22:48:38Z,2026-08-v1
